Rapport_Collecte,Rapport_clean,Contamination,Etat_materiau
"Déchet plastique collecté issu de la collecte citoyenne. Poids 33.3 kg, volume 51.7 L. Rigidité semi-rigide, non conducteur. Surface semi-opaque.",plastique citoyenne 33 3kg 51 rigidité semi rigide conducteur surface semi opaque,0,Inconnu
"Déchets en verre identifiés provenant de l'Usine A. Poids 164.5 kg, volume 346.8 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés provenant 164 5kg 346 conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Déchets plastiques divers au centre de tri municipal. Poids estimé 24.4 kg. Opacité légèrement translucide, souplesse variable. Légère contamination observée.",déchets plastique diver centre tri municipal 24 4kg opacité légèrement translucide souplesse variable légère contamination observée,1,Moyen
"Déchets plastiques divers au Centre de Tri. Poids estimé 44.9 kg. Opacité légèrement translucide, souplesse variable. Volume surestimé, vérification recommandée.",déchets plastique diver centre tri 44 9kg opacité légèrement translucide souplesse variable surestimé vérification recommandée,0,Moyen
"Lot plastique en provenance de l'Usine A. Volume 65.1 L, poids 32.0 kg. Aspect semi-opaque, rigidité moyenne. Aucune trace de métal.",plastique 65 32 0kg aspect semi opaque rigidité moyenne aucune trace métal,1,Moyen
"Papier usagé au centre de tri municipal. Poids relevé : 9.1 kg. Faible rigidité, non conducteur. Matériau mélangé à d'autres déchets.",papier usagé centre tri municipal relevé 9 1kg faible rigidité conducteur mélangé autres déchets,0,Inconnu
"Déchet métallique détecté à l'Usine A. Poids 65.4 kg, volume 165.2 L. Conductivité élevée (0.890), rigidité importante. Étiquetage absent sur le conteneur.",métallique détecté 65 4kg 165 conductivité élevée 0 890 rigidité importante étiquetage absent conteneur,0,Inconnu
"Bris de verre ou contenants depuis le Centre de Tri. Masse 2288.6 kg. Matériau dense, rigidité élevée, transparence partielle. Légère contamination observée.",bris verre contenants depuis centre tri 2288 6kg dense rigidité élevée transparence partielle légère contamination observée,1,Moyen
"Ferraille ou métal collecté à l'Usine A. Masse 57.1 kg. Haute conductivité électrique, matériau rigide. Prix revente estimé.",ferraille métal 57 1kg haute conductivité électrique rigide prix revente,0,Inconnu
"Lot plastique provenant de l'Usine A. Volume 21.1 L, poids 27.2 kg. Aspect semi-opaque, rigidité moyenne. Aucune trace de métal.",plastique provenant 21 27 2kg aspect semi opaque rigidité moyenne aucune trace métal,1,Moyen
"Lot plastique à l'Usine A. Volume 25.0 L, poids 18.5 kg. Aspect semi-opaque, rigidité moyenne. Aucune trace de métal.",plastique 25 18 5kg aspect semi opaque rigidité moyenne aucune trace métal,1,Moyen
"Lot métallique à l'Usine B. Poids 65.5 kg, volume 112.2 L. Conducteur, très rigide. Aspect très opaque. Étiquetage absent sur le conteneur.",métallique 65 5kg 112 conducteur très rigide aspect très opaque étiquetage absent conteneur,0,Inconnu
"Lot métallique au centre de tri municipal. Poids non mesuré kg, volume 145.2 L. Conducteur, très rigide. Aspect très opaque. Étiquetage absent sur le conteneur.",métallique centre tri municipal mesuré 145 conducteur très rigide aspect très opaque étiquetage absent conteneur,0,Inconnu
"Déchet métallique détecté lors d'une collecte citoyenne. Poids 53.3 kg, volume 97.1 L. Conductivité élevée (0.808), rigidité importante. Étiquetage absent sur le conteneur.",métallique détecté lors citoyenne 53 3kg 97 conductivité élevée 0 808 rigidité importante étiquetage absent conteneur,0,Inconnu
"Plastique de tri sélectif en provenance de l'Usine A. Masse non mesuré kg. Matériau semi-rigide, faible conductivité. Acheminement prioritaire demandé.",plastique tri sélectif mesuré semi rigide faible conductivité acheminement prioritaire demandé,0,Inconnu
"Plastique de tri sélectif à l'Usine B. Masse 28.9 kg. Matériau semi-rigide, faible conductivité. Poids anormalement élevé pour cette catégorie.",plastique tri sélectif 28 9kg semi rigide faible conductivité anormalement élevé cette catégorie,0,Inconnu
Lot de verre trié issu de la collecte citoyenne. Masse 168.8 kg. Matériau lourd et extrêmement rigide. Aspect légèrement translucide. Étiquetage absent sur le conteneur.,verre trié citoyenne 168 8kg lourd extrêmement rigide aspect légèrement translucide étiquetage absent conteneur,0,Moyen
"Déchets en verre identifiés à l'Usine A. Poids 195.4 kg, volume 415.0 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés 195 4kg 415 conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Lot plastique via la collecte citoyenne. Volume 31.2 L, poids 26.2 kg. Aspect légèrement translucide, rigidité moyenne. Aucune trace de métal.",plastique via citoyenne 31 26 2kg aspect légèrement translucide rigidité moyenne aucune trace métal,1,Moyen
"Déchet métallique détecté depuis l'Usine B. Poids 62.7 kg, volume 109.9 L. Conductivité élevée (0.997), rigidité importante. Conditionnement non conforme au protocole.",métallique détecté depuis 62 7kg 109 conductivité élevée 0 997 rigidité importante conditionnement conforme protocole,0,Inconnu
"Lot métallique via la collecte citoyenne. Poids 55.9 kg, volume 65.7 L. Conducteur, très rigide. Aspect très opaque. Matériau mélangé à d'autres déchets.",métallique via citoyenne 55 9kg 65 conducteur très rigide aspect très opaque mélangé autres déchets,0,Inconnu
"Déchets en verre identifiés sans localisation enregistrée. Poids 233.4 kg, volume 471.9 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés sans localisation enregistrée 233 4kg 471 conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Plastique de tri sélectif lors d'une collecte citoyenne. Masse 38.5 kg. Matériau semi-rigide, faible conductivité. Poids anormalement élevé pour cette catégorie.",plastique tri sélectif lors citoyenne 38 5kg semi rigide faible conductivité anormalement élevé cette catégorie,0,Inconnu
Lot de verre trié lors d'une collecte citoyenne. Masse non mesuré kg. Matériau lourd et extrêmement rigide. Aspect légèrement translucide. Poids anormalement élevé pour cette catégorie.,verre trié lors citoyenne mesuré lourd extrêmement rigide aspect légèrement translucide anormalement élevé cette catégorie,0,Moyen
"Bris de verre ou contenants provenant de l'Usine A. Masse non mesuré kg. Matériau dense, rigidité élevée, transparence partielle. Traces d'humidité détectées.",bris verre contenants provenant mesuré dense rigidité élevée transparence partielle trace humidité détectées,1,Moyen
"Collecte de déchets papier en provenance de l'Usine B. Masse 11.8 kg. Matériau souple, sans conductivité électrique. Surface très opaque.",déchets papier 11 8kg souple sans conductivité électrique surface très opaque,0,Inconnu
"Feuilles et cartons collectés à l'emplacement non spécifié. Masse totale 16.1 kg. Matériau léger, souple et opaque. Acheminement prioritaire demandé.",feuilles carton emplacement spécifié totale 16 1kg léger souple opaque acheminement prioritaire demandé,0,Inconnu
"Feuilles et cartons collectés issu de la collecte citoyenne. Masse totale 15.0 kg. Matériau léger, souple et opaque. Lot conforme aux standards de tri.",feuilles carton citoyenne totale 15 0kg léger souple opaque conforme standard tri,0,Inconnu
"Métal de récupération depuis le Centre de Tri. Masse 83.4 kg. Forte conductivité (0.912), rigidité élevée. Bonne valeur marchande.",métal récupération depuis centre tri 83 4kg forte conductivité 0 912 rigidité élevée bonne valeur marchande,0,Inconnu
"Plastique de tri sélectif lors d'une collecte citoyenne. Masse 19.6 kg. Matériau de rigidité non mesurée, faible conductivité. Poids anormalement élevé pour cette catégorie.",plastique tri sélectif lors citoyenne 19 6kg rigidité mesurée faible conductivité anormalement élevé cette catégorie,0,Inconnu
"Déchet plastique collecté dans un site non renseigné. Poids 32.3 kg, volume 81.3 L. Rigidité rigide, non conducteur. Surface indéterminée.",plastique 32 3kg 81 rigidité rigide conducteur surface indéterminée,0,Inconnu
"Lot de déchets non identifiés lors d'une collecte citoyenne. Masse 30.3 kg. Comportement physique atypique, classification incertaine. Traces d'humidité détectées.",déchets identifiés lors citoyenne 30 3kg comportement physique atypique classification incertaine trace humidité détectées,1,Inconnu
"Déchets plastiques divers en provenance de l'Usine B. Poids estimé 23.8 kg. Opacité légèrement translucide, souplesse variable. Légère contamination observée.",déchets plastique diver 23 8kg opacité légèrement translucide souplesse variable légère contamination observée,1,Moyen
"Déchet de type papier identifié issu de la collecte citoyenne. Volume estimé 6.8 L, poids 12.0 kg. Texture semi-rigide, très opaque.",papier identifié citoyenne 6 12 0kg texture semi rigide très opaque,0,Inconnu
"Métal de récupération lors d'une collecte citoyenne. Masse 62.6 kg. Forte conductivité (0.983), rigidité élevée. Bonne valeur marchande.",métal récupération lors citoyenne 62 6kg forte conductivité 0 983 rigidité élevée bonne valeur marchande,0,Inconnu
Déchets métalliques triés au Centre de Tri. Poids non mesuré kg. Conductivité mesurée : non mesurée. Matériau dense et résistant. Étiquetage absent sur le conteneur.,déchets métalliques triés centre tri mesuré conductivité mesurée mesurée dense résistant étiquetage absent conteneur,0,Inconnu
"Lot de papier récupéré en provenance de l'Usine B. Poids léger de 17.8 kg, volume moyen. Matériau souple, non conducteur, aspect très opaque. Bon état général.",papier récupéré léger 17 8kg moyen souple conducteur aspect très opaque bon état général,0,Moyen
"Lot métallique au centre de tri municipal. Poids 35.0 kg, volume 80.8 L. Conducteur, très rigide. Aspect très opaque. Odeur inhabituelle signalée par l'agent.",métallique centre tri municipal 35 0kg 80 conducteur très rigide aspect très opaque odeur inhabituelle signalée agent,0,Inconnu
"Lot de papier récupéré issu de la collecte citoyenne. Poids léger de 18.2 kg, volume petit. Matériau souple, non conducteur, aspect très opaque. Bon état général.",papier récupéré citoyenne léger 18 2kg petit souple conducteur aspect très opaque bon état général,0,Inconnu
"Plastique de tri sélectif provenant de l'Usine A. Masse 39.9 kg. Matériau semi-rigide, faible conductivité. Aucune anomalie signalée.",plastique tri sélectif provenant 39 9kg semi rigide faible conductivité aucune anomalie signalée,0,Inconnu
"Papier usagé lors d'une collecte citoyenne. Poids relevé : 14.7 kg. Faible rigidité, non conducteur. Traces d'humidité détectées.",papier usagé lors citoyenne relevé 14 7kg faible rigidité conducteur trace humidité détectées,1,Inconnu
"Emballages plastiques récupérés via la collecte citoyenne. Masse 12.7 kg, volume 50.2 L. semi-rigide, non conducteur.",emballages plastique récupérés via citoyenne 12 7kg 50 semi rigide conducteur,0,Inconnu
"Lot plastique au centre de tri municipal. Volume 68.6 L, poids 40.1 kg. Aspect légèrement translucide, rigidité moyenne. Aucune trace de métal.",plastique centre tri municipal 68 40 1kg aspect légèrement translucide rigidité moyenne aucune trace métal,1,Moyen
"Déchets en verre identifiés à l'Usine A. Poids 251.7 kg, volume 491.3 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés 251 7kg 491 conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Papier usagé à l'Usine A. Poids relevé : 15.8 kg. Faible rigidité, non conducteur. Volume surestimé, vérification recommandée.",papier usagé relevé 15 8kg faible rigidité conducteur surestimé vérification recommandée,0,Inconnu
"Déchets en verre identifiés au Centre de Tri. Poids 182.6 kg, volume 362.1 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés centre tri 182 6kg 362 conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Matériau inconnu depuis l'Usine B. Poids 16.7 kg, volume 25.1 L. Propriétés mixtes. Orientation vers tri manuel.",inconnu depuis 16 7kg 25 propriétés mixtes orientation vers tri manuel,0,Inconnu
"Lot de papier récupéré provenant de l'Usine A. Poids léger de 17.6 kg, volume petit. Matériau souple, non conducteur, aspect indéterminée. Bon état général.",papier récupéré provenant léger 17 6kg petit souple conducteur aspect indéterminée bon état général,0,Inconnu
"Bris de verre ou contenants à l'Usine A. Masse 196.3 kg. Matériau dense, rigidité élevée, transparence partielle. Matériau mélangé à d'autres déchets.",bris verre contenants 196 3kg dense rigidité élevée transparence partielle mélangé autres déchets,0,Moyen
"Déchets en verre identifiés dans un site non renseigné. Poids 171.9 kg, volume 362.7 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés 171 9kg 362 conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Déchet de type papier identifié dans un site non renseigné. Volume estimé 41.4 L, poids 17.8 kg. Texture souple, très opaque.",papier identifié 41 17 8kg texture souple très opaque,0,Inconnu
"Ferraille ou métal collecté à l'Usine B. Masse 75.8 kg. Haute conductivité électrique, matériau rigide. Prix revente estimé.",ferraille métal 75 8kg haute conductivité électrique rigide prix revente,0,Inconnu
"Déchets plastiques divers lors d'une collecte citoyenne. Poids estimé 17.9 kg. Opacité semi-opaque, souplesse variable. Traces d'humidité détectées.",déchets plastique diver lors citoyenne 17 9kg opacité semi opaque souplesse variable trace humidité détectées,1,Inconnu
"Verre recyclable lors d'une collecte citoyenne. Poids 187.1 kg, volume 389.6 L. Rigidité extrêmement rigide, faible conductivité. Surface lisse.",verre recyclable lors citoyenne 187 1kg 389 rigidité extrêmement rigide faible conductivité surface lisse,0,Inconnu
"Déchets plastiques divers au Centre de Tri. Poids estimé 42.1 kg. Opacité semi-opaque, souplesse variable. Volume surestimé, vérification recommandée.",déchets plastique diver centre tri 42 1kg opacité semi opaque souplesse variable surestimé vérification recommandée,0,Inconnu
"Ferraille ou métal collecté en provenance de l'Usine B. Masse 59.8 kg. Haute conductivité électrique, matériau extrêmement rigide. Prix revente estimé.",ferraille métal 59 8kg haute conductivité électrique extrêmement rigide prix revente,0,Inconnu
"Métal de récupération au centre de tri municipal. Masse 52.7 kg. Forte conductivité (0.862), rigidité élevée. Bonne valeur marchande.",métal récupération centre tri municipal 52 7kg forte conductivité 0 862 rigidité élevée bonne valeur marchande,0,Inconnu
"Lot métallique issu de la collecte citoyenne. Poids non mesuré kg, volume 112.9 L. Conducteur, très rigide. Aspect très opaque. Volume surestimé, vérification recommandée.",métallique citoyenne mesuré 112 conducteur très rigide aspect très opaque surestimé vérification recommandée,0,Inconnu
Lot de verre trié au Centre de Tri. Masse 194.4 kg. Matériau lourd et extrêmement rigide. Aspect légèrement translucide. Matériau mélangé à d'autres déchets.,verre trié centre tri 194 4kg lourd extrêmement rigide aspect légèrement translucide mélangé autres déchets,0,Moyen
"Ferraille ou métal collecté au Centre de Tri. Masse 26.3 kg. Haute conductivité électrique, matériau extrêmement rigide. Prix revente estimé.",ferraille métal centre tri 26 3kg haute conductivité électrique extrêmement rigide prix revente,0,Inconnu
"Déchet en verre collecté en provenance de l'Usine A. Poids lourd : 218.6 kg, volume 428.3 L. Très rigide, non conducteur, aspect indéterminée.",verre lourd 218 6kg 428 très rigide conducteur aspect indéterminée,0,Inconnu
"Lot de déchets non identifiés sans localisation enregistrée. Masse 81.2 kg. Comportement physique atypique, classification incertaine. Matériau mélangé à d'autres déchets.",déchets identifiés sans localisation enregistrée 81 2kg comportement physique atypique classification incertaine mélangé autres déchets,0,Inconnu
"Déchet plastique collecté à l'Usine A. Poids 34.1 kg, volume 105.8 L. Rigidité semi-rigide, non conducteur. Surface légèrement translucide.",plastique 34 1kg 105 rigidité semi rigide conducteur surface légèrement translucide,0,Moyen
"Déchet plastique collecté via la collecte citoyenne. Poids 18.2 kg, volume 22.8 L. Rigidité semi-rigide, non conducteur. Surface légèrement translucide.",plastique via citoyenne 18 2kg 22 rigidité semi rigide conducteur surface légèrement translucide,0,Moyen
"Lot de papier récupéré depuis le Centre de Tri. Poids léger de 15.9 kg, volume moyen. Matériau souple, non conducteur, aspect indéterminée. Bon état général.",papier récupéré depuis centre tri léger 15 9kg moyen souple conducteur aspect indéterminée bon état général,0,Moyen
"Emballages plastiques récupérés à l'Usine A. Masse 38.7 kg, volume 58.6 L. semi-rigide, non conducteur.",emballages plastique récupérés 38 7kg 58 semi rigide conducteur,0,Inconnu
"Déchet de type papier identifié à l'Usine A. Volume estimé non mesuré L, poids 16.1 kg. Texture souple, très opaque.",papier identifié mesuré 16 1kg texture souple très opaque,0,Inconnu
"Plastique de tri sélectif en provenance de l'Usine A. Masse 24.0 kg. Matériau rigide, faible conductivité. Lot conforme aux standards de tri.",plastique tri sélectif 24 0kg rigide faible conductivité conforme standard tri,0,Inconnu
"Déchets en verre identifiés issu de la collecte citoyenne. Poids non mesuré kg, volume 373.0 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés citoyenne mesuré 373 conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Déchets plastiques divers issu de la collecte citoyenne. Poids estimé 26.7 kg. Opacité légèrement translucide, souplesse variable. Matériau mélangé à d'autres déchets.",déchets plastique diver citoyenne 26 7kg opacité légèrement translucide souplesse variable mélangé autres déchets,0,Moyen
"Déchet non catégorisé collecté au Centre de Tri. Poids 12.6 kg, volume 44.3 L. Caractéristiques ambiguës. Nécessite analyse complémentaire.",catégorisé centre tri 12 6kg 44 caractéristiques ambiguës nécessite analyse complémentaire,0,Inconnu
Déchet inclassifiable détecté depuis le Centre de Tri. Masse estimée -99.0 kg. Agent de tri recommande contrôle visuel supplémentaire. Conditionnement non conforme au protocole.,inclassifiable détecté depuis centre tri 99 0kg agent tri recommande contrôle visuel supplémentaire conditionnement conforme protocole,0,Inconnu
"Métal de récupération depuis le Centre de Tri. Masse non mesuré kg. Forte conductivité (0.841), rigidité élevée. Bonne valeur marchande.",métal récupération depuis centre tri mesuré forte conductivité 0 841 rigidité élevée bonne valeur marchande,0,Inconnu
"Déchet en verre collecté en provenance de l'Usine A. Poids lourd : 205.6 kg, volume 364.7 L. Très rigide, non conducteur, aspect indéterminée.",verre lourd 205 6kg 364 très rigide conducteur aspect indéterminée,0,Inconnu
"Déchet plastique collecté dans un site non renseigné. Poids 14.4 kg, volume -26.8 L. Rigidité rigide, non conducteur. Surface semi-opaque.",plastique 14 4kg 26 rigidité rigide conducteur surface semi opaque,0,Inconnu
"Lot métallique dans un site non renseigné. Poids 67.1 kg, volume 103.6 L. Conducteur, très rigide. Aspect très opaque. Matériau mélangé à d'autres déchets.",métallique 67 1kg 103 conducteur très rigide aspect très opaque mélangé autres déchets,0,Inconnu
"Plastique de tri sélectif à l'Usine A. Masse non mesuré kg. Matériau semi-rigide, faible conductivité. Volume surestimé, vérification recommandée.",plastique tri sélectif mesuré semi rigide faible conductivité surestimé vérification recommandée,0,Inconnu
"Déchets plastiques divers à l'Usine A. Poids estimé 23.3 kg. Opacité semi-opaque, souplesse variable. Conditionnement non conforme au protocole.",déchets plastique diver 23 3kg opacité semi opaque souplesse variable conditionnement conforme protocole,0,Inconnu
"Ferraille ou métal collecté depuis le Centre de Tri. Masse 48.0 kg. Haute conductivité électrique, matériau rigide. Prix revente estimé.",ferraille métal depuis centre tri 48 0kg haute conductivité électrique rigide prix revente,0,Inconnu
"Ferraille ou métal collecté au Centre de Tri. Masse 44.1 kg. Haute conductivité électrique, matériau extrêmement rigide. Prix revente estimé.",ferraille métal centre tri 44 1kg haute conductivité électrique extrêmement rigide prix revente,0,Inconnu
Déchets métalliques triés à l'Usine A. Poids 63.0 kg. Conductivité mesurée : 0.841. Matériau dense et résistant. Aucune anomalie signalée.,déchets métalliques triés 63 0kg conductivité mesurée 0 841 dense résistant aucune anomalie signalée,0,Inconnu
Déchets métalliques triés via la collecte citoyenne. Poids 38.5 kg. Conductivité mesurée : 0.967. Matériau dense et résistant. Légère contamination observée.,déchets métalliques triés via citoyenne 38 5kg conductivité mesurée 0 967 dense résistant légère contamination observée,1,Inconnu
"Ferraille ou métal collecté via la collecte citoyenne. Masse 80.8 kg. Haute conductivité électrique, matériau extrêmement rigide. Prix revente estimé.",ferraille métal via citoyenne 80 8kg haute conductivité électrique extrêmement rigide prix revente,0,Inconnu
"Déchets plastiques divers à l'emplacement non spécifié. Poids estimé 45.9 kg. Opacité légèrement translucide, souplesse variable. Matériau mélangé à d'autres déchets.",déchets plastique diver emplacement spécifié 45 9kg opacité légèrement translucide souplesse variable mélangé autres déchets,0,Moyen
"Métal de récupération dans un site non renseigné. Masse 61.6 kg. Forte conductivité (0.854), rigidité élevée. Bonne valeur marchande.",métal récupération 61 6kg forte conductivité 0 854 rigidité élevée bonne valeur marchande,0,Inconnu
Lot de verre trié à l'Usine B. Masse 146.7 kg. Matériau lourd et extrêmement rigide. Aspect légèrement translucide. Conditionnement non conforme au protocole.,verre trié 146 7kg lourd extrêmement rigide aspect légèrement translucide conditionnement conforme protocole,0,Moyen
"Papier usagé issu de la collecte citoyenne. Poids relevé : 13.7 kg. Faible rigidité, non conducteur. État dégradé, recyclage partiel possible.",papier usagé citoyenne relevé 13 7kg faible rigidité conducteur état dégradé recyclage partiel possible,0,Inconnu
"Métal de récupération au centre de tri municipal. Masse 49.4 kg. Forte conductivité (0.934), rigidité élevée. Bonne valeur marchande.",métal récupération centre tri municipal 49 4kg forte conductivité 0 934 rigidité élevée bonne valeur marchande,0,Inconnu
Déchets métalliques triés en provenance de l'Usine B. Poids 34.4 kg. Conductivité mesurée : 0.914. Matériau dense et résistant. Acheminement prioritaire demandé.,déchets métalliques triés 34 4kg conductivité mesurée 0 914 dense résistant acheminement prioritaire demandé,0,Inconnu
"Déchets plastiques divers à l'Usine B. Poids estimé non mesuré kg. Opacité légèrement translucide, souplesse variable. Matériau mélangé à d'autres déchets.",déchets plastique diver mesuré opacité légèrement translucide souplesse variable mélangé autres déchets,0,Moyen
"Lot métallique au Centre de Tri. Poids 78.7 kg, volume 165.9 L. Conducteur, très rigide. Aspect très opaque. Aucune anomalie signalée.",métallique centre tri 78 7kg 165 conducteur très rigide aspect très opaque aucune anomalie signalée,0,Inconnu
"Déchets métalliques triés en provenance de l'Usine B. Poids 43.8 kg. Conductivité mesurée : 0.859. Matériau dense et résistant. Volume surestimé, vérification recommandée.",déchets métalliques triés 43 8kg conductivité mesurée 0 859 dense résistant surestimé vérification recommandée,0,Inconnu
"Déchet non catégorisé collecté en provenance de l'Usine A. Poids 63.5 kg, volume 112.6 L. Caractéristiques ambiguës. Nécessite analyse complémentaire.",catégorisé 63 5kg 112 caractéristiques ambiguës nécessite analyse complémentaire,0,Inconnu
"Déchet plastique collecté à l'Usine B. Poids 13.3 kg, volume 61.9 L. Rigidité rigide, non conducteur. Surface semi-opaque.",plastique 13 3kg 61 rigidité rigide conducteur surface semi opaque,0,Inconnu
"Métal de récupération au centre de tri municipal. Masse 37.5 kg. Forte conductivité (0.965), rigidité élevée. Bonne valeur marchande.",métal récupération centre tri municipal 37 5kg forte conductivité 0 965 rigidité élevée bonne valeur marchande,0,Inconnu
"Collecte de déchets papier à l'Usine A. Masse 7.2 kg. Matériau souple, sans conductivité électrique. Surface très opaque.",déchets papier 7 2kg souple sans conductivité électrique surface très opaque,0,Inconnu
"Déchet plastique collecté dans un site non renseigné. Poids 41.9 kg, volume 70.3 L. Rigidité de rigidité non mesurée, non conducteur. Surface légèrement translucide.",plastique 41 9kg 70 rigidité rigidité mesurée conducteur surface légèrement translucide,0,Moyen
"Feuilles et cartons collectés via la collecte citoyenne. Masse totale 16.1 kg. Matériau léger, souple et opaque. Étiquetage absent sur le conteneur.",feuilles carton via citoyenne totale 16 1kg léger souple opaque étiquetage absent conteneur,0,Inconnu
"Lot de déchets non identifiés provenant de l'Usine A. Masse 26.4 kg. Comportement physique atypique, classification incertaine. Légère contamination observée.",déchets identifiés provenant 26 4kg comportement physique atypique classification incertaine légère contamination observée,1,Inconnu
Déchets métalliques triés à l'Usine A. Poids 61.7 kg. Conductivité mesurée : 0.885. Matériau dense et résistant. Lot conforme aux standards de tri.,déchets métalliques triés 61 7kg conductivité mesurée 0 885 dense résistant conforme standard tri,0,Inconnu
"Feuilles et cartons collectés via la collecte citoyenne. Masse totale 23.5 kg. Matériau léger, souple et opaque. Lot conforme aux standards de tri.",feuilles carton via citoyenne totale 23 5kg léger souple opaque conforme standard tri,0,Inconnu
"Déchet plastique collecté issu de la collecte citoyenne. Poids 16.5 kg, volume 47.9 L. Rigidité rigide, non conducteur. Surface légèrement translucide.",plastique citoyenne 16 5kg 47 rigidité rigide conducteur surface légèrement translucide,0,Moyen
"Déchets en verre identifiés en provenance de l'Usine B. Poids 148.7 kg, volume 292.9 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés 148 7kg 292 conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Lot métallique depuis l'Usine B. Poids 35.6 kg, volume 82.1 L. Conducteur, très rigide. Aspect très opaque. Matériau mélangé à d'autres déchets.",métallique depuis 35 6kg 82 conducteur très rigide aspect très opaque mélangé autres déchets,0,Inconnu
"Matériau inconnu au Centre de Tri. Poids non mesuré kg, volume 95.8 L. Propriétés mixtes. Orientation vers tri manuel.",inconnu centre tri mesuré 95 propriétés mixtes orientation vers tri manuel,0,Inconnu
Lot de verre trié au Centre de Tri. Masse 187.7 kg. Matériau lourd et extrêmement rigide. Aspect légèrement translucide. Étiquetage absent sur le conteneur.,verre trié centre tri 187 7kg lourd extrêmement rigide aspect légèrement translucide étiquetage absent conteneur,0,Moyen
